Reporting range=["Monthly"],Select year=["2026"],Select month=["June"],Products displayed=["All combinations"],Brand=["TP-Link"]
"Product title",ASIN,Brand,Category,Subcategory,"Number of orders","No. 1 Purchase Combination: Product Title","No. 1 Purchase Combination: ASIN","No. 1 Purchase Combination: Combination %","No. 2 Purchase Combination: Product Title","No. 2 Purchase Combination: ASIN","No. 2 Purchase Combination: Combination %","No. 3 Purchase Combination: Product Title","No. 3 Purchase Combination: ASIN","No. 3 Purchase Combination: Combination %","Reporting Date"
"TP-Link Tapo C216 | İç ve Dış Mekan Wi-Fi Güvenlik Kamerası | 2K 3MP Netlik | 360° Pan/Tilt Hareketli | Renkli Gece Görüşü | AI Bebek Ağlaması ve Kişi Algılama | Akıllı Takip | Bulut/SD Kart Depolama","B0G57S2RRR","TP-Link","1500 DVC","1510 Pocket_Video_Cameras","1","JBL Tune 510BT Multi Connect Wireless Kulaklık, Siyah","B08VD6SRBZ","100.0","Okey Kayganlaştırıcı Jel - Çilek Özlü 100 ml","B093PX1J27","100.0","Juo Magsafe Powerbank 10000mAh Standlı 20W Dahili Type-C Kablolu Taşınabilir Hızlı Şarj Cihazı Siyah","B0DPXHC7GG","100.0","2026-06-30"
"TP-Link UB600 Nano | Bluetooth 6.0 USB Adaptör | Yeni Nesil Yüksek Güvenlik ve Kararlılık | Kablosuz PC Alıcı | Windows 11/10/8.1/7 Uyumlu | Tak-Unut Mini Tasarım | Bluetooth Dongle","B0GLRL6H6Y","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","4","Sailor Moon Eternal Edition 9","1632365960","25.0","Sailor Moon Eternal Edition 10","1632365979","25.0","VegGieg Premium 8K 60Hz 4K 120Hz HDCP ARC HDR Örgülü HDMI 2.1 Kablo 1.5 Metre","B0DK5BMXR5","25.0","2026-06-30"
"TP-Link Tapo C645D KIT Güneş Enerjili Çift Lensli Pan/Tilt Güvenlik Kamerası, 2K Çözünürlük, İnsan/Araç/Evcil Hayvan Algılama, 360° Görüş, Akıllı Takip","B0GVNXN5SJ","TP-Link","1500 DVC","1510 Pocket_Video_Cameras","3","SanDisk Extreme PRO SDXC UHS-I Hafıza Kartı, 128 GB, 200 MB/sn Aktarım Hızı, U3: UHS Speed Sınıf, V30: Speed Sınıf, 4K UHD Videolar, QuickFlow Teknolojisi, Isıya Dayanıklı","B09X7FXHVJ","33.33","Tapo C545D | 2K Çift Lensli Dış Mekan Güvenlik Kamerası | 165° Geniş Açı + Telefoto Lens | IP66 | AI Takip | Renkli Gece Görüşü | Ethernet Bağlantı | İki Yönlü Ses | Yerel & Bulut Depolama","B0FZJWWB72","33.33","KIOXIA 128GB Exceria G3 Micro SDXC U1 V30 A2 4K 160/50MB/sn Hafıza Kartı (SD Adaptörlü)","B0FZSL68PP","33.33","2026-06-30"
"TP-Link Archer TX30U Plus WiFi 6 USB Adaptör AX1800 (1800 Mbps), Dual Band 5GHz/2.4GHz, USB 3.0, Çift Yüksek Kazançlı Anten, WPA3 Güvenlik, Windows 11/10 Uyumlu Kablosuz Adaptör","B0GVN15P4Q","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","3","Scrikss Kartuş Dolma Kalem Kartuşu 6'lı Paket Mavi","B07DMNZ6Q4","33.33","Scrikss Punto Dolmakalem Gri Özel Kutulu","B0D2KXQR2V","33.33","Spigen 30W USB-C Ultra Mini Hızlı Şarj Aleti PPS Desteği/Isı Düşürücü GaN Destekli Akım Korumalı Güç Adaptörü iPhone & Android & iPad & MacBook Type-C Black- ACH08448","B0DFX1N74Z","33.33","2026-06-30"
"TP-Link Archer TBE400U USB 3.0 Wi-Fi 7 Tri-Band Kablosuz Adaptör, BE6500, 6 GHz/5 GHz/2.4 GHz, 72x24x10.8 mm","B0GVKC1PF6","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","2","TP-Link UH400, 5Gbps Transfer Hızlı Tak ve kullan 4-Port USB 3.0 Hub","B00V4BGD00","50.0","Kablosuz Wifi Alıcı AC1300 Mbps Dual Band USB 3.0 Adaptör","B0859M539M","50.0",,,"0.0","2026-06-30"
"TP-Link Tapo C245D | 2K 3MP Çift Lensli Akıllı Güvenlik Kamerası | 360° | Geniş Açı ve Tele-Lens | Akıllı Hareket Takibi | AI Kişi ve Bebek Ağlaması Algılama | Çift Ekran İzleme|Bulut/SD Kart","B0GVTH4693","TP-Link","1500 DVC","1510 Pocket_Video_Cameras","2","Philips NT3650/16 Burun, Kulak ve Kaş Düzeltici","B087VM4TW9","100.0","Tapo C460 KIT | 4K 8MP Güneş Enerjili Güvenlik Kamerası Kiti | 10000 mAh Batarya | Starlight Renkli Gece Görüşü | AI İnsan/Evcil Hayvan/Araç Algılama | IP66 | Wi-Fi | microSD & Bulut","B0F3PCWSWB","100.0",,,"0.0","2026-06-30"
"TP-Link Deco X50(3-pack), AX3000 Tüm Ev Mesh WiFi 6 Sistemi","B09LVG58VX","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","17","VegGieg CAT6 1000Mbps Gigabit UTP Ethernet Kablosu 1 Metre","B0DMT7YNGH","23.53","TP-Link Deco X50(1-pack), AX3000 Tüm Ev Mesh WiFi 6 Sistemi","B09LVFVRYB","11.76","Vileda Ekonomik Bulaşık Süngeri, 10'lu Ekonomik Paket, Rainbow","B015URBCR2","5.88","2026-06-30"
"TP-Link Deco X50-Outdoor 1-Pack, AX3000 Mbps, IP65 Toza ve Suya Dayanıklılık, Dual-Band, Gigabit Bağlantı Noktaları, 230 m² 'ye Kadar Kapsama, HomeSheild, Dış Mekan/İç Mekan WiFi 6 Mesh Ünitesi","B0BVKZDF98","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","8","TP-Link Deco X50(1-pack), AX3000 Tüm Ev Mesh WiFi 6 Sistemi","B09LVFVRYB","25.0","TP-Link Deco X50-PoE 1-pack, AX3000 Mbps, PoE Destekli, Dual-Band, 2,5Gbps Ethernet Portu, 150 Cihaza Kadar Bağlantı, 230 m² 'ye Kadar Kapsama, Mobil Uygulama ile Kolay Kurulum, Wi-Fi 6 Mesh Sistemi","B0BSFFJN93","25.0","Ugreen CAT6 Flat Ethernet Kablosu, 2 Metre, Siyah","B071YR6DRK","12.5","2026-06-30"
"TP-Link Festa F52, AC1350Mbps, 1 Gigabit Port, Festa Mesh, Kesintisiz Dolaşım, MU-MIMO, Ücretsiz Bulut Yönetimi, PoE ve Pasif PoE Destekli, Dual-Band Wi-Fi 5 Tavan Tipi Access Point","B0DCZVTZ2P","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","Mercusys MS105GP, 5-Port Gigabit Desktop Switch with 4-Port PoE+","B0C3D15MQ4","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link RE235BE | BE3600 Wi-Fi 7 Menzil Genişletici | 3.6 Gbps Çift Bant (2882 Mbps + 688 Mbps) | 2.5G Ethernet Port | MLO Desteği | EasyMesh Uyumlu | Akıllı Dolaşım | Kolay Kurulum","B0FJM88BTG","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","TP-Link Deco X50-PoE 1-pack, AX3000 Mbps, PoE Destekli, Dual-Band, 2,5Gbps Ethernet Portu, 150 Cihaza Kadar Bağlantı, 230 m² 'ye Kadar Kapsama, Mobil Uygulama ile Kolay Kurulum, Wi-Fi 6 Mesh Sistemi","B0BSFFJN93","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link Tl-Wn725N, 150Mbps Kablosuz N Nano Usb Adaptör","B008IFXQFU","TP-Link","900 Computing Accessories","1090 Computing Components & Networking: Other","11","KIOXIA 128GB Exceria G3 Micro SDXC U1 V30 A2 4K 160/50MB/sn Hafıza Kartı (SD Adaptörlü)","B0FZSL68PP","18.18","Tuhaf Resimler - 3 MİLYONDAN FAZLA OKUR, 30’DAN FAZLA DİL","6051984151","9.09","Günübirlik Hayatlar","6053435937","9.09","2026-06-30"
"TP-Link RE200 Dual Band 750 Mbps Wifi Güçlendirici","B00KXULGJQ","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","2","Şu Yaramaz Tavşanlar","6052952644","50.0","Değnek Adam","6052959126","50.0","Küçük Kar Tanesi","6052959959","50.0","2026-06-30"
"TP-Link CPE605, 5GHz 150Mbps 23dBi Outdoor CPE","B07VC31Q6S","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","5","Philips Hue Bridge Pro - Bağlantı Köprüsü v3","B0FKH9CD5C","40.0","TP-Link TL-SG108PE, 8 Port Gigabit / 4 Port POE Smart Switch","B01BPFKNNM","20.0","Philips Hue Play, Akıllı LED Aydınlatma, Siyah, Güç Adaptörü Dahil","B07FXRS4ZW","20.0","2026-06-30"
"TP-Link TL-SG105PE, 5-Port Gigabit Easy Smart Switch with 4-Port PoE+","B08GDC61NS","TP-Link","1000 Computing Components & Networking","1085 Switches","4","Bosch PSM 200 AES Çok Amaçlı Zımpara Psm 200 Aes, Yeşil","B00IPIYLKO","25.0","TP-Link LS1005G Ethernet Çevirici 5 Port 10/100/1000 Mbps","B07VC68RW1","25.0","Savon De Royal Savon Pur Luxury Vegan Sıvı Sabun Beyaz (500 ml)","B087S5C2TW","25.0","2026-06-30"
"TP-Link AV1000 Gigabit Powerline ac Wi-Fi Kit, TL-WPA7517 KIT, Gigabit Ethernet, 750 Mbps","B08R6H6931","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","9","Royal Canin Sterilised 37 Kısırlaştırılmış Kedi Maması 15 Kg","B005NZKX04","11.11","VARTA Longlife AAA Alkalin kalem pil 10'lu paket","B00KSW6UFO","11.11","VİKO Multi-Let 4lü Topraklı Kablolu Ç.K 2mt Priz","B083M94M8N","11.11","2026-06-30"
